,win_K,win_CCI,win_R,lags,RSI_span,win_ma,method,hit_rate
0,14,20,7,10,14,10,LR,0.5
1,14,20,7,10,14,10,LDA,0.5142276422764228
2,14,20,7,10,14,10,QDA,0.5121951219512195
3,14,20,7,10,14,10,RF,0.5284552845528455
4,14,20,7,10,14,10,KNN,0.45934959349593496
5,14,20,7,10,14,10,ADA,0.5142276422764228
6,14,20,7,10,14,10,GTB,0.5101626016260162
7,14,20,7,10,14,10,LR,0.5020325203252033
8,14,20,7,10,14,10,LDA,0.5
9,14,20,7,10,14,10,QDA,0.5121951219512195
10,14,20,7,10,14,10,RF,0.5365853658536586
11,14,20,7,10,14,10,KNN,0.45934959349593496
12,14,20,7,10,14,10,ADA,0.5101626016260162
13,14,20,7,10,14,10,GTB,0.5
14,14,20,7,10,14,10,LR,0.5060975609756098
15,14,20,7,10,14,10,LDA,0.5101626016260162
16,14,20,7,10,14,10,QDA,0.5121951219512195
17,14,20,7,10,14,10,RF,0.5365853658536586
18,14,20,7,10,14,10,KNN,0.45934959349593496
19,14,20,7,10,14,10,ADA,0.508130081300813
20,14,20,7,10,14,10,GTB,0.5182926829268293
21,14,20,7,10,14,10,LR,0.508130081300813
22,14,20,7,10,14,10,LDA,0.5203252032520326
23,14,20,7,10,14,10,QDA,0.5121951219512195
24,14,20,7,10,14,10,RF,0.5508130081300813
25,14,20,7,10,14,10,KNN,0.45934959349593496
26,14,20,7,10,14,10,ADA,0.5304878048780488
27,14,20,7,10,14,10,GTB,0.5345528455284553
28,14,20,7,10,14,10,LR,0.5040650406504065
29,14,20,7,10,14,10,LDA,0.516260162601626
30,14,20,7,10,14,10,QDA,0.5121951219512195
31,14,20,7,10,14,10,RF,0.5264227642276422
32,14,20,7,10,14,10,KNN,0.45934959349593496
33,14,20,7,10,14,10,ADA,0.5040650406504065
34,14,20,7,10,14,10,GTB,0.5284552845528455
35,14,20,7,10,14,10,LR,0.49796747967479676
36,14,20,7,10,14,10,LDA,0.5203252032520326
37,14,20,7,10,14,10,QDA,0.5121951219512195
38,14,20,7,10,14,10,RF,0.5548780487804879
39,14,20,7,10,14,10,KNN,0.45934959349593496
40,14,20,7,10,14,10,ADA,0.508130081300813
41,14,20,7,10,14,10,GTB,0.5284552845528455
42,14,20,7,10,14,10,LR,0.5040650406504065
43,14,20,7,10,14,10,LDA,0.5203252032520326
44,14,20,7,10,14,10,QDA,0.5121951219512195
45,14,20,7,10,14,10,RF,0.540650406504065
46,14,20,7,10,14,10,KNN,0.45934959349593496
47,14,20,7,10,14,10,ADA,0.524390243902439
48,14,20,7,10,14,10,GTB,0.5223577235772358
